config_id,min_merit_score,min_price_delta_cents,big_scam_min_price_delta_cents,evenly_matched_max_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
mm1.5-mp5.0-bs40-e110,1.5,5.0,40,110,train,1953,1011,921,21,1220.71,0.63
mm1.5-mp5.0-bs40-e110,1.5,5.0,40,110,valid,353,174,174,5,108.68,0.31
mm1.5-mp5.0-bs40-e120,1.5,5.0,40,120,train,1897,995,881,21,3578.04,1.91
mm1.5-mp5.0-bs40-e120,1.5,5.0,40,120,valid,350,174,171,5,373.79,1.08
mm1.5-mp5.0-bs40-e130,1.5,5.0,40,130,train,1866,980,865,21,3834.04,2.08
mm1.5-mp5.0-bs40-e130,1.5,5.0,40,130,valid,345,167,173,5,-357.33,-1.05
mm1.5-mp5.0-bs40-e140,1.5,5.0,40,140,train,1850,959,870,21,1573.08,0.86
mm1.5-mp5.0-bs40-e140,1.5,5.0,40,140,valid,345,167,173,5,-468.08,-1.38
mm1.5-mp5.0-bs60-e110,1.5,5.0,60,110,train,1875,973,881,21,1289.88,0.7
mm1.5-mp5.0-bs60-e110,1.5,5.0,60,110,valid,333,164,164,5,-66.02,-0.2
mm1.5-mp5.0-bs60-e120,1.5,5.0,60,120,train,1819,957,841,21,3647.21,2.03
mm1.5-mp5.0-bs60-e120,1.5,5.0,60,120,valid,330,164,161,5,199.09,0.61
mm1.5-mp5.0-bs60-e130,1.5,5.0,60,130,train,1788,942,825,21,3903.21,2.21
mm1.5-mp5.0-bs60-e130,1.5,5.0,60,130,valid,325,157,163,5,-532.03,-1.66
mm1.5-mp5.0-bs60-e140,1.5,5.0,60,140,train,1772,921,830,21,1642.25,0.94
mm1.5-mp5.0-bs60-e140,1.5,5.0,60,140,valid,325,157,163,5,-642.78,-2.01
mm1.5-mp5.0-bs80-e110,1.5,5.0,80,110,train,1820,948,851,21,1931.57,1.07
mm1.5-mp5.0-bs80-e110,1.5,5.0,80,110,valid,322,160,157,5,80.87,0.26
mm1.5-mp5.0-bs80-e120,1.5,5.0,80,120,train,1764,932,811,21,4288.9,2.46
mm1.5-mp5.0-bs80-e120,1.5,5.0,80,120,valid,319,160,154,5,345.98,1.1
mm1.5-mp5.0-bs80-e130,1.5,5.0,80,130,train,1733,917,795,21,4544.9,2.65
mm1.5-mp5.0-bs80-e130,1.5,5.0,80,130,valid,314,153,156,5,-385.14,-1.25
mm1.5-mp5.0-bs80-e140,1.5,5.0,80,140,train,1717,896,800,21,2283.94,1.35
mm1.5-mp5.0-bs80-e140,1.5,5.0,80,140,valid,314,153,156,5,-495.89,-1.6
mm1.5-mp5.0-bs100-e110,1.5,5.0,100,110,train,1771,926,824,21,2293.58,1.31
mm1.5-mp5.0-bs100-e110,1.5,5.0,100,110,valid,313,156,152,5,153.21,0.5
mm1.5-mp5.0-bs100-e120,1.5,5.0,100,120,train,1715,910,784,21,4650.91,2.75
mm1.5-mp5.0-bs100-e120,1.5,5.0,100,120,valid,310,156,149,5,418.32,1.37
mm1.5-mp5.0-bs100-e130,1.5,5.0,100,130,train,1684,895,768,21,4906.91,2.95
mm1.5-mp5.0-bs100-e130,1.5,5.0,100,130,valid,305,149,151,5,-312.8,-1.04
mm1.5-mp5.0-bs100-e140,1.5,5.0,100,140,train,1668,874,773,21,2645.95,1.61
mm1.5-mp5.0-bs100-e140,1.5,5.0,100,140,valid,305,149,151,5,-423.55,-1.41
mm1.5-mp10.0-bs40-e110,1.5,10.0,40,110,train,1918,993,904,21,1001.41,0.53
mm1.5-mp10.0-bs40-e110,1.5,10.0,40,110,valid,352,174,173,5,208.68,0.6
mm1.5-mp10.0-bs40-e120,1.5,10.0,40,120,train,1864,978,865,21,3444.18,1.87
mm1.5-mp10.0-bs40-e120,1.5,10.0,40,120,valid,349,174,170,5,473.79,1.38
mm1.5-mp10.0-bs40-e130,1.5,10.0,40,130,train,1835,964,850,21,3722.18,2.05
mm1.5-mp10.0-bs40-e130,1.5,10.0,40,130,valid,344,167,172,5,-257.33,-0.76
mm1.5-mp10.0-bs40-e140,1.5,10.0,40,140,train,1820,944,855,21,1528.79,0.85
mm1.5-mp10.0-bs40-e140,1.5,10.0,40,140,valid,344,167,172,5,-368.08,-1.09
mm1.5-mp10.0-bs60-e110,1.5,10.0,60,110,train,1840,955,864,21,1070.58,0.59
mm1.5-mp10.0-bs60-e110,1.5,10.0,60,110,valid,332,164,163,5,33.98,0.1
mm1.5-mp10.0-bs60-e120,1.5,10.0,60,120,train,1786,940,825,21,3513.35,1.99
mm1.5-mp10.0-bs60-e120,1.5,10.0,60,120,valid,329,164,160,5,299.09,0.92
mm1.5-mp10.0-bs60-e130,1.5,10.0,60,130,train,1757,926,810,21,3791.35,2.18
mm1.5-mp10.0-bs60-e130,1.5,10.0,60,130,valid,324,157,162,5,-432.03,-1.35
mm1.5-mp10.0-bs60-e140,1.5,10.0,60,140,train,1742,906,815,21,1597.96,0.93
mm1.5-mp10.0-bs60-e140,1.5,10.0,60,140,valid,324,157,162,5,-542.78,-1.7
mm1.5-mp10.0-bs80-e110,1.5,10.0,80,110,train,1785,930,834,21,1712.27,0.97
mm1.5-mp10.0-bs80-e110,1.5,10.0,80,110,valid,321,160,156,5,180.87,0.57
mm1.5-mp10.0-bs80-e120,1.5,10.0,80,120,train,1731,915,795,21,4155.04,2.43
mm1.5-mp10.0-bs80-e120,1.5,10.0,80,120,valid,318,160,153,5,445.98,1.42
mm1.5-mp10.0-bs80-e130,1.5,10.0,80,130,train,1702,901,780,21,4433.04,2.64
mm1.5-mp10.0-bs80-e130,1.5,10.0,80,130,valid,313,153,155,5,-285.14,-0.93
mm1.5-mp10.0-bs80-e140,1.5,10.0,80,140,train,1687,881,785,21,2239.65,1.34
mm1.5-mp10.0-bs80-e140,1.5,10.0,80,140,valid,313,153,155,5,-395.89,-1.29
mm1.5-mp10.0-bs100-e110,1.5,10.0,100,110,train,1736,908,807,21,2074.28,1.21
mm1.5-mp10.0-bs100-e110,1.5,10.0,100,110,valid,312,156,151,5,253.21,0.82
mm1.5-mp10.0-bs100-e120,1.5,10.0,100,120,train,1682,893,768,21,4517.05,2.72
mm1.5-mp10.0-bs100-e120,1.5,10.0,100,120,valid,309,156,148,5,518.32,1.71
mm1.5-mp10.0-bs100-e130,1.5,10.0,100,130,train,1653,879,753,21,4795.05,2.94
mm1.5-mp10.0-bs100-e130,1.5,10.0,100,130,valid,304,149,150,5,-212.8,-0.71
mm1.5-mp10.0-bs100-e140,1.5,10.0,100,140,train,1638,859,758,21,2601.66,1.61
mm1.5-mp10.0-bs100-e140,1.5,10.0,100,140,valid,304,149,150,5,-323.55,-1.08
mm2.0-mp5.0-bs40-e110,2.0,5.0,40,110,train,1893,978,894,21,1289.19,0.69
mm2.0-mp5.0-bs40-e110,2.0,5.0,40,110,valid,345,171,169,5,326.86,0.96
mm2.0-mp5.0-bs40-e120,2.0,5.0,40,120,train,1842,965,856,21,3698.37,2.03
mm2.0-mp5.0-bs40-e120,2.0,5.0,40,120,valid,342,171,166,5,591.97,1.76
mm2.0-mp5.0-bs40-e130,2.0,5.0,40,130,train,1813,948,844,21,3402.21,1.9
mm2.0-mp5.0-bs40-e130,2.0,5.0,40,130,valid,337,164,168,5,-139.15,-0.42
mm2.0-mp5.0-bs40-e140,2.0,5.0,40,140,train,1798,927,850,21,1111.33,0.63
mm2.0-mp5.0-bs40-e140,2.0,5.0,40,140,valid,337,164,168,5,-249.9,-0.75
mm2.0-mp5.0-bs60-e110,2.0,5.0,60,110,train,1818,942,855,21,1379.34,0.77
mm2.0-mp5.0-bs60-e110,2.0,5.0,60,110,valid,326,161,160,5,52.16,0.16
mm2.0-mp5.0-bs60-e120,2.0,5.0,60,120,train,1767,929,817,21,3788.52,2.17
mm2.0-mp5.0-bs60-e120,2.0,5.0,60,120,valid,323,161,157,5,317.27,1.0
mm2.0-mp5.0-bs60-e130,2.0,5.0,60,130,train,1738,912,805,21,3492.36,2.03
mm2.0-mp5.0-bs60-e130,2.0,5.0,60,130,valid,318,154,159,5,-413.85,-1.32
mm2.0-mp5.0-bs60-e140,2.0,5.0,60,140,train,1723,891,811,21,1201.48,0.71
mm2.0-mp5.0-bs60-e140,2.0,5.0,60,140,valid,318,154,159,5,-524.6,-1.68
mm2.0-mp5.0-bs80-e110,2.0,5.0,80,110,train,1764,917,826,21,1921.03,1.1
